coauthor	join_id	all_viafs	localid	set	id	name.norm	name.alts	profession	hobbies	societal_activity	birthdate	birthplace	deathdate	deathplace	birthplace1	birthplace2	birth_county	birth_parish	birth_area	birth_village	birth_lat	birth_lon	birth_level_used	domicile_places	domicile_years_in_place_after_20	domicile_prop_in_plac	domicile_koht	domicile_linn	domicile_kyla	domicile_lat2	domicile_lon2	domicile_raw	edu_raw	edu_max_school	edu_max_school_level	edu_max_school_name	edu_years_in_school	edu_higher_raw	edu_higher_degree	family_parents	family_siblings	family_marriage	family_kids
$aAdamson, Hendrik,$d1891-1946	ISIK20	http://viaf.org/viaf/41050515	1111	ISIK	20	Adamson, Hendrik	""	luuletaja, kirjanik, õpetaja, esperantist	""	""	1891-10-06	Metskuru k. Kärstna v. Viljandimaa	1946-03-07	Tuhalaane (Kärstna) vald	Metskuru k. Kärstna v. Viljandimaa	Viljandimaal Kärstna v Metsakuru Patsi	""	""	Kärstna vald	Viljandi	58.36389	25.59	1	Metskuru	35	1	Metskuru k &gt;&gt; Mõtsakuru (k)			58.1647222222222	25.7741666666667	""	""	1	algk	Raja algkooli juhataja	36	""	""	Rätsep Hans A. (1856--, Tarvastu vallast), Riin Karu (1866--, Kärstna  Patsilt).	Vallaline.	Kärstna vallakool 1901 ja ministeeriumikool 1902--07, Tartu ÕS 1907--11.	""
$aAdamson, Johannes,$d1883-1944	ISIK23	http://viaf.org/viaf/6847149544612800490008	1440	ISIK	23	Adamson, Johannes	""	õpetaja, kirjanik	""	""	1883-11-28	Tartumaal Valguta valla Aralil	1944-09-04	Türi	Tartumaal Valguta valla Aralil	Tartumaal Valguta valla Arali	""	""	Valguta v	""	58.18417	26.1975	4	Tartu%20linn	19	0.295081967213115	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	TÜ hist-phil	7	""	""	Rentnik Jaan  A. (1859--, Holstre vallast), Liisa Lepp.	""	Ae 1922 muusikaõpetaja Ida Emilie  Estam (1898--1989, Pärnu majaomanik Jaan E., vt).	Juta (1922).
$aAdari, Aadu,$d1904-1956	ISIK24	http://viaf.org/viaf/54149542777200301357	1551	ISIK	24	Adari, Aadu	Adarf, Aleksander	ajakirjanik	""	""	1904-08-25	Tallinn	1956-09-09	Tallinn	Tallinn	Tallinna	""	""	""	Tallinn	59.43696	24.75353	1	Pedagoogiline	10	0.173076923076923	""					""	""		""	""		""	""	Tööline Aleksander Adorf, Anete.	""	Ae 1928 näitl Oili (Olga) Roots (1907--57, vt).	Maia (1928, vt).
$aAder, Karl,$d1903-1993	ISIK27	http://viaf.org/viaf/28146332913518732229	1883	ISIK	27	Ader, Karl	Ader, Kaalu	näitleja	""	""	1903-03-20	Tartumaal Kavastu valla Koosa külas	1993-06-18	Tallinn	Tartumaal Kavastu valla Koosa külas	Tartumaal Kavastu valla Koosa  küla	""	""	Kavastu v	Koosa k	58.52	27.07417	3	Ugalas	19	0.216867469879518	""					""	""	5	ülik	TÜ theol	19	""	""	Kaupmees Jaan A. (vt), Leena Nichfeldt (1874--).	Vend Voldemar (1907--91,  vt).	Ae 1928 õpetaja Erika Russi (1905--95, Põltsamaa koolijuhataja Ferdinand R.  /vt/, Lilli Martin).	Jaak (1931, majandusteadlane), Mari-Mall Luts (1934,  arst).
$aGori,$cpseud.,$d1894-1944	ISIK30	http://viaf.org/viaf/33891816	2217	ISIK	30	Agori, Vello	Tõnisson, Georg~a-ni 1935	ajakirjanik, karikaturist, vestekirjanik	""	""	1894-02-20	Pärnu	1944-10-07	Tallinn	Pärnu	Pärnu	""	""	""	Pärnu	58.38588	24.49711	1	Vaba	18	0.34	Pirita vabaajakeskus			59.4683333333333	24.8336111111111	""	""	1	linnak	linnakool	2	""	""	Kooli kojamees Jüri Tõnisson (Pootsi vallast), Anna Blumenfeldt (Tammiste  vallast).	""	Ae 1920 Lydia Viiporn (1898--, Lehtse valla talunik Gustav V., Liisa).	Vello (1921), Olev (1925).
$aJorss,$cpseud.,$d1894-1944	ISIK30	http://viaf.org/viaf/33891816	2217	ISIK	30	Agori, Vello	Tõnisson, Georg~a-ni 1935	ajakirjanik, karikaturist, vestekirjanik	""	""	1894-02-20	Pärnu	1944-10-07	Tallinn	Pärnu	Pärnu	""	""	""	Pärnu	58.38588	24.49711	1	Vaba	18	0.34	Pirita vabaajakeskus			59.4683333333333	24.8336111111111	""	""	1	linnak	linnakool	2	""	""	Kooli kojamees Jüri Tõnisson (Pootsi vallast), Anna Blumenfeldt (Tammiste  vallast).	""	Ae 1920 Lydia Viiporn (1898--, Lehtse valla talunik Gustav V., Liisa).	Vello (1921), Olev (1925).
$aAhas, Eduard,$d1901-1944	ISIK31	http://viaf.org/viaf/9354149544631500490002	2327	ISIK	31	Ahas, Eduard Mihkel	""	õpetaja, maalikunstnik	""	""	1901-09-16	Tartumaal Valguta valla  Peetsul	1944-09-17	langes Luunja all	Tartumaal Valguta valla  Peetsul	Tartumaal Valguta valla  Peetsu	""	""	Valguta v	""	58.18417	26.1975	4	Ugala	12	0.255813953488372	""					""	""		""	""	11	""	""	Taluomanik Mihkel A. (1860--1925), Miina Viilu (1866--1917).	Vennad Karl (1891--, vt), August (1894--, vt), Henn (Hermann, 1904--27,  vt), Oskar (langes 1919 Vabadussõjas).	Ae 1925 Ella Elfriede Puusepp  (1901--, Aakre valla talunik Peeter P., Kanadasse, vt).	""
$aAhrens, Eduard,$d1803-1863	ISIK35	http://viaf.org/viaf/10253065	2770	ISIK	35	Ahrens, Eduard	""	pastor, keeleteadlane	""	""	1803-04-03	Tallinn	1863-02-19	Tallinn	Tallinn	Tallinna	""	""	""	Tallinn	59.43696	24.75353	1	Kuusalu	26	0.416666666666667	""					""	""	5	ülik	TÜ theol	14	""	""	Kreisimaamõõtja Johann  Hartwig A., Christiane Schneider.	""	Ae Rosalie Saltzmann (1807--).	Maria  Cäcilie Sanctis (k.õpetaja Londonis).
$aAibel, Eduard	ISIK37	""	2991	ISIK	37	Aibel, Eduard	""	agronoom	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aAinelo, Jaan,$d1882-1941	ISIK39	http://viaf.org/viaf/103251382	3211	ISIK	39	Ainelo, Jaan	Bundberg, Jaan~kuni 1922	kooliõpetaja	""	""	1882-07-05	Võrumaal Räpina valla Raadamaa Heidel	1941-11-21	Sosva	Võrumaal Räpina valla Raadamaa Heidel	Võrumaal Räpina valla  Raadamaa Heide	""	""	Räpina v	Võru	57.83389	27.01944	1	Kahkva	12	0.23728813559322	Kahkva k		TRUE	57.9980555555556	27.4669444444444	""	""	5	ülik	TÜ vabakuulaja	13	""	""	Taluomanik Jakob Bundberg, Mari Kliimann (vennapoeg Alfred  Kiviste /vt/).	""	Ae 1922 Elli Lasn (1898--, Abram L., Taali valla Närju omanik).	Heljo Kodres (1923), Ago (1924, lapsed Anita /1954/, Leo /1957/, Jaan /1958/),  Elo (1931).
$aAinson, A	ISIK40	""	3321	ISIK	40	Ainson, A.	""	""	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aAivola, August,$d1904-1975	ISIK45	http://viaf.org/viaf/20149542839800302188	3873	ISIK	45	Aivola, A.	""	UNEDITEDElva alevi maksunõudja  1937--, vangistatud 1940/41, E-s tagasi.	""	""	1904-08-20	Tartu	1975-00-00	""	Tartu	Tartu	""	""	""	Tartu	58.38062	26.72509	1	Tartu	13	0.916666666666667	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	TÜ jur	5	""	""	Vidrik  Anslang.	""	""	""
$aAkel, Friedrich Karl,$d1871-1941	ISIK46	http://viaf.org/viaf/308694675	3984	ISIK	46	Akel, Friedrich	""	arst, poliitik, saadik	""	""	1871-09-05	Pärnumaal Pornuse valla Kaubi Noosi karjamõisas	1941-07-03	Tallinn	Pärnumaal Pornuse valla Kaubi Noosi karjamõisas	Pärnumaal Pornuse valla Kaubi Noosi  karjamõisa	""	""	Pornuse v	Pärnu	58.38588	24.49711	1	Tartu%20linn	15	0.388888888888889	Tartu linn	TRUE		58.38	26.7225	""	""	1	algk	Viljandi algkool  (F.	3	""	""	Karjamõisa omanik Juhan A. (1840--, Kaubi vallast), Kärt Risso  (1842--, V-Kariste vallast).	Õde Marie Ruubel (1862--, ae Kaarli valla Kääriku  omanik Jaak R.).	Ae 1906 Adele Karoline Tenz (1884--1944, sadulsepp Adolf  T. Tartust, Elisabeth).	Vilma Tiit (1906--, ae 1926 advokaat Alfred Johannes  T. /1899--, vt/, lah), Asta Treude (1907--, ae 1936 diplomaat Damasius T.  /vt/), Friedrich (1910--42, vt), Lia von Sydov (1918, ae 1940 Rootsi diplomaat  Erik v.S.).
$aAlits, Hans,$d?-1902	ISIK59	""	5425	ISIK	59	Alits, Hans	""	kooliõpetaja, luuletaja	""	""	""	""	1902-12-00	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	Surnud XII 1902  Kaarlis.	Sakala 1902/54 – ISOTAMM 2	""	""
$aAllas, Carl,$d1838-1910	ISIK62	http://viaf.org/viaf/9149542627200301031	5758	ISIK	62	Allas, Karl	""	õpetaja	""	""	1838-00-00	""	1910-00-00	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aAlle, A	ISIK63	http://viaf.org/viaf/18618579	5869	ISIK	63	Alle, August	""	koduõpetaja, luuletaja, publitsist, ajakirjanik	""	""	1890-08-31	Viljandi	1952-07-08	Tallinn	Viljandi	Viljandi	""	""	""	Viljandi	58.36389	25.59	1	Saraatovi	19	0.290322580645161	""					""	""	5	ülik	Saraatovi Ü med	15	""	""	Kivilõhkuja Jaan A., Mall.	Õde Marta Braff (1897--1957).	""	""
$aAlle, August,$d1890-1952	ISIK63	http://viaf.org/viaf/18618579	5869	ISIK	63	Alle, August	""	koduõpetaja, luuletaja, publitsist, ajakirjanik	""	""	1890-08-31	Viljandi	1952-07-08	Tallinn	Viljandi	Viljandi	""	""	""	Viljandi	58.36389	25.59	1	Saraatovi	19	0.290322580645161	""					""	""	5	ülik	Saraatovi Ü med	15	""	""	Kivilõhkuja Jaan A., Mall.	Õde Marta Braff (1897--1957).	""	""
$aAllermann, Sofie,$d1890-1938	ISIK65	""	6090	ISIK	65	Allermann, Sophie	Allermann, Senni~1927-28~Allermann, Sofie~Allermann, Sonny~1927-28	kommunist	""	""	1890-04-27	Tallinn	1938-00-00	""	Tallinn	Tallinna	""	""	""	Tallinn	59.43696	24.75353	1	Peterburi	7	0.264705882352941	Peterburi tee, b-ps			59.4241666666667	24.7875	""	""	5	ülik	Moskva Šanjavski õhtuülikool	1	""	""	""	""	""	""
$aAllik, Aleksei,$d1853-1932	ISIK67	http://viaf.org/viaf/36153409759441582549	4781	ISIK	67	Allik, Aleksei	""	õpetaja, preester	""	""	1853-10-08	Kärla (Paadla) valla Kõrkevere küla Saaremaal	1932-05-24	Muhu valla Rintsi küla	Kärla (Paadla) valla Kõrkevere küla Saaremaal	Saaremaal Kärla (Paadla) valla Kõrkvere küla	Saaremaa	""	""	Kõrkevere k	58.41333	22.49639	6	Muhu	35	0.430379746835443	= rööp- või >> viit põhinimele			58.6338888888889	23.2855555555556	""	""	3	õp-sem	Riia ÕS	12	""	""	Vabadik Ott (Varfolomei) A., Riina.	""	Ae 1880 Maria Orlova.	Vladimir  (1883--1938, vt).
$aAllik, Hendrik,$d1901-1989	ISIK68	http://viaf.org/viaf/13945394	6418	ISIK	68	Allik, Hendrik	""	UNEDITEDTööl Abjas  1915--16, arveam Tall-s 1916--19, KP X 1917, 1918 lõpus Tall TSN liige,  Vabaduss-s 1919, sv-s 1921--22, 1920 Balti Puuvillavabr töölisvan.nõuk  aseesim, üle-eestimaalise Noorproletaarlaste ühingu juh.l, töölisüh-ste  kesknõuk ja juh.l, ajal Tööline toim.l 1922--23, II Rk (TüV = EKP)  1923--29.II 1924, 1923 EKP ja EKNü KK, vang I 1924, 149 kommunisti  protsessil eluaegne sunnitöö, Vangimaja Kiire toim ja vangimaja bür.l,  V 1938 vab amnestiaga, EKP illeg.bür sekr 1938--IV 1940, Tall a/ü-te  tarb.üh-se rmtpid 1938--40, ajak Kommunist toim.l VII 1940, nats.peakom  kaub.osak juh VII--VIII 1940, kaubanduse rk 25.VIII 1940--30.XII 1943,  KK esind Viljm küüditamisel 13.--14.VI 1941, NL tagalas 1941--42, II  ms-s PA e 8.~korp poliitosak.ül 1942--VII 1943, al.polk, RKN ja MN  aseesim 30.XII 1943--27.XII 1950, 1965--73, põllut.rk ja min 15.IX  1945--19.IV 1946, vang 29.XII 1950 Tall-s, NSVL üK sõjakoll 19.I 1952,  25 a, vab IX 1955 (kuriteo koosseisu puudumine), XI 1955 taas KP, NL  riigipanga ENSV kontori juh 1956--57, metsatööst.min 7.II--7.VI 1957,  MN Plaanikom-ni aseesim 7.VI 1957--28.I 1961, Plaanikom esim 28.I  1961--19.III 1973, pers.pens 1973; EKP KK 1923--24, 1941--50, 1958--76,  NSVL üN VII ks 1966--70, ENSV üN II 1947--50, V--VI, VIII ks 1947--50,  1959--67, 1971--75; LenO 1950, 1965, ORO 1971, Punalipp, Isamaasõja I,  II, RSO.	""	""	1901-03-15	""	1989-05-08	""	""	Pä Abja v.	Pärnumaa	""	Abja vald	""	58.09328	25.25148	2	Plaanikom-ni	19	0.204545454545455	""					""	""	2	khkk	Halliste khkk	6	""	""	Sulane Hans A., Leena.	""	Ae 1947 Olga Lauristin (snd Künnapuu, 1903, vt).	Jaak (1946, vt).
$aAlliksaar, Linda,$d1917-1988	ISIK71	http://viaf.org/viaf/17153409733241581703	6751	ISIK	71	Alliksaar, Linda Eliise	Alamäe, Linda Eliise~Bergmann, Linda Eliise~–1937	masinakirjutaja	""	""	1917-03-19	Tartu	1988-06-13	Tartu	Tartu	Tartu	""	""	""	Tartu	58.38062	26.72509	1	Tartu	51	1	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	TÜ phil	6	""	""	Tööline Anna Pauliine Bergmann.	""	Ae 1960 kirjanik Artur Alliksaar (1923--66,  vt).	Jürgen.
$aAllo, Gustav,$d1853-1943	ISIK72	http://viaf.org/viaf/117149542899000302505	6862	ISIK	72	Allo, Gustav	""	kokk, mõisateenija	""	""	1853-07-22	Keskvere vald Läänemaal	""	""	Keskvere vald Läänemaal	Läänemaal Keskvere valla	""	""	Keskvere v	""	58.82083	23.82861	4	Mõisa	34	0.740740740740741	""					""	""		""	""	41	""	""	Mõisatööline Ado A.,  Liisu Takjar.	""	Ae 1883--84 Olga Marie Kennberg (surnud).	Rannamõisa vallakool.
$aAltermann, Theodor,$d1885-1915	ISIK74	http://viaf.org/viaf/296393496	6885	ISIK	74	Altermann, Theodor	""	näitleja	""	""	1885-00-00	""	1915-00-00	""	""	Ha Ravila v Tammiku ms  kõrtsm p.	Harjumaa	""	Ravila vald	""	59.17861	25.21639	4	""			""					""	""		""	""		""	""	""	""	Ae 1914 näitl Milly Jürgenson (1893--1962, ae 2. 1938 Paul  Pinna /vt/, vt).	""
$aAmbur, Paul,$d1904-1974	ISIK81	http://viaf.org/viaf/45392077	6962	ISIK	81	Ambur, Paul Evald	Hamburg, Paul~kuni 1936	kirjandusloolane, õpetaja, ajakirjanik	""	""	1904-01-05	Järvakandi Harjumaa	1974-04-21	Tallinn	Järvakandi Harjumaa	Ha Järvakandi v Palso	Harjumaa	""	Järvakandi vald	""	58.7781	24.81319	2	Järvakandi	50	1	Järvakandi alev			58.7772222222222	24.8172222222222	""	""		""	""		""	""	""	""	""	""
$aKindluste, Evald,$cpseud.,$d1904-1974	ISIK81	http://viaf.org/viaf/45392077	6962	ISIK	81	Ambur, Paul Evald	Hamburg, Paul~kuni 1936	kirjandusloolane, õpetaja, ajakirjanik	""	""	1904-01-05	Järvakandi Harjumaa	1974-04-21	Tallinn	Järvakandi Harjumaa	Ha Järvakandi v Palso	Harjumaa	""	Järvakandi vald	""	58.7781	24.81319	2	Järvakandi	50	1	Järvakandi alev			58.7772222222222	24.8172222222222	""	""		""	""		""	""	""	""	""	""
$aSancho Panza,$cpseud.,$d1904-1974	ISIK81	http://viaf.org/viaf/45392077	6962	ISIK	81	Ambur, Paul Evald	Hamburg, Paul~kuni 1936	kirjandusloolane, õpetaja, ajakirjanik	""	""	1904-01-05	Järvakandi Harjumaa	1974-04-21	Tallinn	Järvakandi Harjumaa	Ha Järvakandi v Palso	Harjumaa	""	Järvakandi vald	""	58.7781	24.81319	2	Järvakandi	50	1	Järvakandi alev			58.7772222222222	24.8172222222222	""	""		""	""		""	""	""	""	""	""
$aAnderkopp, Ado,$d1894-1941	ISIK86	http://viaf.org/viaf/1911149544574200490009	3711	ISIK	86	Anderkopp, Ado	""	poliitik, ajakirjanik, sporditegelane	""	""	1894-01-18	Massu v. Läänemaa	1941-06-30	Tallinn	Massu v. Läänemaa	Lä Massu v.	Läänemaa	""	Massu vald	""	58.65111	23.62306	4	Massu	27	1	""					""	""		""	""		""	""	""	""	""	""
$aAndreller, Jüri	ISIK89	""	7049	ISIK	89	Andreller, Jüri	""	""	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aAndresen, Nigol,$d1899-1985	ISIK90	http://viaf.org/viaf/233605199	7061	ISIK	90	Andresen, Nigol	Andresen, Nikolai	poliitikategelane, kirjandusteadlane, kirjanduskriitik	""	""	1899-10-02	Haljala v. Virumaa	1985-02-24	Tartu	Haljala v. Virumaa	Vir Haljala (Aaspere) v Nõmme	Virumaa	""	Haljala vald	""	59.45427	26.22015	2	Teatriüh	28	0.313953488372093	""					""	""	3	õp-sem	Rakv öS	14	""	""	Väiketalun Kustav A. (1859--,  Vihula v-st), Maria Vebermann (1858--, Vihula v Mäelt).	""	Ae 1927 Eva  Martna (1901--86, vt, Mihkel M. /vt/, Olga Tompson).	Ins Erik A.  (1929), helitehn Eva Põdra (1931).
$aOrmi Arp,$cpseud.,$d1899-1985	ISIK90	http://viaf.org/viaf/233605199	7061	ISIK	90	Andresen, Nigol	Andresen, Nikolai	poliitikategelane, kirjandusteadlane, kirjanduskriitik	""	""	1899-10-02	Haljala v. Virumaa	1985-02-24	Tartu	Haljala v. Virumaa	Vir Haljala (Aaspere) v Nõmme	Virumaa	""	Haljala vald	""	59.45427	26.22015	2	Teatriüh	28	0.313953488372093	""					""	""	3	õp-sem	Rakv öS	14	""	""	Väiketalun Kustav A. (1859--,  Vihula v-st), Maria Vebermann (1858--, Vihula v Mäelt).	""	Ae 1927 Eva  Martna (1901--86, vt, Mihkel M. /vt/, Olga Tompson).	Ins Erik A.  (1929), helitehn Eva Põdra (1931).
$aAnimägi, Johan,$d1896-1941	ISIK93	http://viaf.org/viaf/9149542592100300594	5386	ISIK	93	Animägi, Johannes	Animägi, Johan~Animägi, Juhan	ajakirjanik	""	""	1896-10-15	Viljandi	""	""	Viljandi	Vilj.	""	""	""	Viljandi	58.36389	25.59	1	Viljandi	25	1	Viljandi linn	TRUE		58.3633333333333	25.5955555555556	""	""		""	""	25	""	""	Kingsepp Johan  A., Ella Mühlberg.	""	Ae 1924 Elice Konstance Leesik.	Vilj min.k, linnak,  Narva komm.k 1913--17, Pb ü phys-math, Tü jur 1920--24-, 405, Ugala.
