"ISIK.id"	"nr"	"Eludaatumid"	"Üldandmed"	"Seotud.andmed"	"Nime.normitud.kuju"	"Sünniaeg"	"Surmaaeg"	"Tegevusala"	"Biograafilised.andmed"	"Allikad"	"Sünnikoht"	"Surmakoht"	"Märkus"	"Ühiskondlik.tegevus"	"Märkus.1"	"Aukraadid"	"Vangistused.ja.repressioonid"	"Poliitiline.tegevus"	"Nimi2"	"Synd"	"Vanemad"	"Vennadoed"	"Abielus"	"Lapsed"	"Haridus"	"Töö"	"Amet"	"Surnud"	"Allikad.1"
1869	1869	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Otsing, Gustav"	"1879-00-00"	"1922-00-00"	"apteeker"	"Keel ja Kirjandus 1071, 9, 576 (N. Andresen, A. Palm); Pharmacia 1922, 2, lk. 123-124."																				"Keel ja Kirjandus 1071, 9, 576 (N. Andresen, A. Palm); Pharmacia 1922, 2, lk. 123-124."
1873	1873	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Otstavel, Jaan"	"1843-06-17"	"1889-01-29"	"õpetaja, ajakirjanik"	"OTSTAVEL, Jaan (Joh.~C.). 17.VI 1843 Saarde khk Jäärja v  Veeliksel. K.õp Kaarel O. Pärnu-ülejõe algk õp u 1870--80, Endla asut,  PärnuPõllumS, Pärnu Pm toim.l 1878 (C.R.Jakobsoni toetaja).  Srn 29.I 1889 Pärnus. PmA, EBL, EKBL, EKrL"	"EAE-40, lk. 154; Postimees 1857-1907, 212; EBL, 356."	"Jäärja v. Pärnumaa"	"Pärnu"							"OTSTAVEL, Jaan (Joh.~C.). "	"17.VI 1843 Saarde khk Jäärja v  Veeliksel. "						"K.õp Kaarel O. Pärnu-ülejõe algk õp u 1870--80, Endla asut,  PärnuPõllumS, Pärnu Pm toim.l 1878 (C.R.Jakobsoni toetaja). "		" Srn 29.I 1889 Pärnus. "	"PmA, EBL, EKBL, EKrL"
1897	1897	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Pukits, Mart"	"1874-04-30"	"1961-06-07"	"kunstnik, kultuuritegelane, tõlkija, ajakirjanik, õpetaja"		"EAT, 245-246; EAE-40, lk. 170-171; Postimees 1857-1907, 222."	"Uue-Kariste v. Pärnumaa"	"Tartu"																	
1899	1899	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Puksoo, Friedrich"	"1890-01-23"	"1969-10-18"	"raamatuteadlane, bibliograaf"		"EAT, 246; EAE-40, lk. 171."	"Naha k. Meeksi v. Võrumaa"	"Tallinn"																	
1937	1937	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Piip, Ants"	"1884-02-28"	"1942-10-01"	"õigusteadlane, diplomaat, poliitik, õppejõud"	"PIIP, Ants (Hans, Anton). 28.II 1884 Vil Tuhalaane v. Sulane  Jaan Piigert (1854--1924), Ann Piip. Ae 1921 Benita Uipus (1902--90).  Ants Tõnis (1921--86, vt). Tuhalaane Piiskopi Aö k 1892--93,  Aö khkk 1893--94, Holstre Vasila Aö k 1894--95, Vilj Aö khkk 1895--96,  Kuldiga öS 1899--1903, g ekst Kuress-s 1908, Pb ülik jur 1908--13, mag  jur 1916. Aö kūster-kooliõp Aluksnes 1903--05, õp Kuress Nikolai Aö  khkk-s 1905--06, Kuress merek-s 1906--12, Pb Jansoni kaub.k-s 1913--15,  Pb ülik stip 1913--16, rahvusvah.õiguse eradots 1917--, sv.am kohtute  peaval-ses 1916--18, AjMnk (Viljm maatameeste poolt), välisesindaja  2.XII (20.XI) 1917, välisdel.l 1918--19 Londonis, Pariisis, välismin  abi IX--X 1919, välismin k.t X--XI Strandmani val-s 1919, E del.l Tartu  rahukonv-l 1919--20, esindaja Londonis 1920, peamin (riigivanem) ja  sõjamin X~1920--I~1921, välismin Pätsi 1.~val-s I~1921--XI~1922,  Teemandi 1.~val-s XII 1925--VII 1926, Tõnissoni val-s V--X 1933,  Uluotsa val-s X 1939--VI 1940, saadik USAs 1923--25, AK, I~Rk (ETE),  Rahvusk II (Tü esind), Rvk, Tü rahvusvah.õiguse prof k.t 1919--24,  korr.prof 1924--40, akad.kohtu esim 1930--39, vandeadv Trt-s 1923--40,  Hääle toim Kuress-s 1906--07, Vaba Maa peatoim 1923; Kuress ES asutaja  ja esim 1908--12, Trt PrantsInst pres 1929--, E-Lätiüh esim 1932--,  BaltiKoostūūbür esim 1935--37, Pan-Euroopaüh esim 1929--, RL E üh esim  1922--37, Välissuheteüh esim 1937--, Akadöigustüh esim 1932--, NK  peavan abi 1930--38, van abi 1938--, Trt l-volik 1930-- (juh 1935--38);  vang VI 1941 Kiidjärvel; VR III/1, Tuhalaane v aukod 1939. Srn 1.X 1942  Nõrobi vanglas. PmA, EBL, EAT, EE, EBLl, EAT2, ENE1, ENE2, ML, EKoBL,  ENE2(14)"	"EAT, 236; EAE-40, lk. 165-166; Postimees 1857-1907, 216."	"Tuhalaane v. Viljandimaa"	"Nõrobi laager Molotovi (Permi) obl."							"PIIP, Ants (Hans, Anton). "	"28.II 1884 Vil Tuhalaane v. "	"Sulane  Jaan Piigert (1854--1924), Ann Piip. "		"Ae 1921 Benita Uipus (1902--90). "	" Ants Tõnis (1921--86, vt). "	"Tuhalaane Piiskopi Aö k 1892--93,  Aö khkk 1893--94, Holstre Vasila Aö k 1894--95, Vilj Aö khkk 1895--96,  Kuldiga öS 1899--1903, g ekst Kuress-s 1908, Pb ülik jur 1908--13, mag  jur 1916. "	"Aö kūster-kooliõp Aluksnes 1903--05, õp Kuress Nikolai Aö  khkk-s 1905--06, Kuress merek-s 1906--12, Pb Jansoni kaub.k-s 1913--15,  Pb ülik stip 1913--16, rahvusvah.õiguse eradots 1917--, sv.am kohtute  peaval-ses 1916--18, AjMnk (Viljm maatameeste poolt), välisesindaja  2.XII (20.XI) 1917, välisdel.l 1918--19 Londonis, Pariisis, välismin  abi IX--X 1919, välismin k.t X--XI Strandmani val-s 1919, E del.l Tartu  rahukonv-l 1919--20, esindaja Londonis 1920, peamin (riigivanem) ja  sõjamin X~1920--I~1921, välismin Pätsi 1.~val-s I~1921--XI~1922,  Teemandi 1.~val-s XII 1925--VII 1926, Tõnissoni val-s V--X 1933,  Uluotsa val-s X 1939--VI 1940, saadik USAs 1923--25, AK, I~Rk (ETE),  Rahvusk II (Tü esind), Rvk, Tü rahvusvah.õiguse prof k.t 1919--24,  korr.prof 1924--40, akad.kohtu esim 1930--39, vandeadv Trt-s 1923--40,  Hääle toim Kuress-s 1906--07, Vaba Maa peatoim 1923; Kuress ES asutaja  ja esim 1908--12, Trt PrantsInst pres 1929--, E-Lätiüh esim 1932--,  BaltiKoostūūbür esim 1935--37, Pan-Euroopaüh esim 1929--, RL E üh esim  1922--37, Välissuheteüh esim 1937--, Akadöigustüh esim 1932--, NK  peavan abi 1930--38, van abi 1938--, Trt l-volik 1930-- (juh 1935--38);  vang VI 1941 Kiidjärvel; VR III/1, Tuhalaane v aukod 1939. "		"Srn 1.X 1942  Nõrobi vanglas. "	"PmA, EBL, EAT, EE, EBLl, EAT2, ENE1, ENE2, ML, EKoBL,  ENE2(14)"
1966	1966	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Ploompuu, Jakob"	"1872-10-11"	"1948-09-13"	"raamatukaupmees, kirjastaja, ajakirjanik"	"PLOOMPUU, Jakob. 11.X 1872 Ha Kolga (Koitjärve) v Kõvasool.  Saunik Juhan P. (hilj Kolga Laane om, 1837--1925, Kiiu v  Võllaskatkult), Madlena Lindvest (1843--1936, Kuusalu kir.v  Lihukõrvelt). V Johan (1867--1943, vt), õ Leeni Vesterinen (1886--1972,  vt). Ae 1901 Alide Kruup (1878--, Ellamaa v-k õp Mihkel K., Juuli, v Rudolf).  Mesike Päärt (1902--67, vt), Lille Hella Haamer (1904--54, ae  maalikunstn Erik H.  /vt/, vt), Õilme van Nest (1905--, ae Harry van  N., t Elan, vt), Endel (1907--), Valve Helga Veisserik (1911, ae 1934 ins  Artur V. /srn 2001/, vt), Helje Aurik (1915, ae 1938 Ilo A.). Hirvli  k-k 1882--86, Tall eraalgk 1886--87.  Talutööl, kartuliülesostja, Rahva  Lehe om 1897--1916, EPm 1897 ja Pm 1899 toim.l, Põllumehe toim.l, Pm  esind Tall-s 1900, Tall-s raamatukaupl.om ja kirjastaja 1900--40,  Koitjärve Laane om 1920--, majaom Tall-s, Vabaduss-s 1918--19 KalMal, AK (ERE) 1920; Karskuss-de Kesktoimk l 1899--1900, Tall karskuss Valvaja asut, ERE.  Srn 13.IX 1948 Koitjärvel, maet Kuusalu kalm-le. PmA, EBL, EAT, EE,  EAT2, ENE1, EKrL"	"EAT, 239-240; EAE-40, lk. 167-168; Eesti kirjanike leksikon, 415; Postimees 1857-1907, 217-219."	"Koitjärvel Kolga v. Harjumaal"	"Koitjärve"	"maetud Kuusalu kalmistule"						"PLOOMPUU, Jakob. "	"11.X 1872 Ha Kolga (Koitjärve) v Kõvasool. "	" Saunik Juhan P. (hilj Kolga Laane om, 1837--1925, Kiiu v  Võllaskatkult), Madlena Lindvest (1843--1936, Kuusalu kir.v  Lihukõrvelt). "	"V Johan (1867--1943, vt), õ Leeni Vesterinen (1886--1972,  vt). "	"Ae 1901 Alide Kruup (1878--, Ellamaa v-k õp Mihkel K., Juuli, v Rudolf). "	" Mesike Päärt (1902--67, vt), Lille Hella Haamer (1904--54, ae  maalikunstn Erik H.  /vt/, vt), Õilme van Nest (1905--, ae Harry van  N., t Elan, vt), Endel (1907--), Valve Helga Veisserik (1911, ae 1934 ins  Artur V. /srn 2001/, vt), Helje Aurik (1915, ae 1938 Ilo A.). "	"Hirvli  k-k 1882--86, Tall eraalgk 1886--87. "	" Talutööl, kartuliülesostja, Rahva  Lehe om 1897--1916, EPm 1897 ja Pm 1899 toim.l, Põllumehe toim.l, Pm  esind Tall-s 1900, Tall-s raamatukaupl.om ja kirjastaja 1900--40,  Koitjärve Laane om 1920--, majaom Tall-s, Vabaduss-s 1918--19 KalMal, AK (ERE) 1920; Karskuss-de Kesktoimk l 1899--1900, Tall karskuss Valvaja asut, ERE. "		" Srn 13.IX 1948 Koitjärvel, maet Kuusalu kalm-le. "	"PmA, EBL, EAT, EE,  EAT2, ENE1, EKrL"
1979	1979	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Bökler, Eduard"	"1892-00-00"	"1968-00-00"																						
1992	1992	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Prants, Hindrik"	"1858-03-12"	"1932-11-17"	"ajakirjanik, tõlkija"	"PRANTS, Hindrik (Heinrich, Hendrik). 12.III 1858 Võ Loosi v  Tohkril. Talun Peeter P., Mai Karoline Treiar. Ae 1900 Anna Mathilde  Kruusmann (1875--, vt). Anna Mathilde Juta Pruler (1908--, vt). Loosi  ms-k 1866--73, Vastseliina khkk 1873--74. Trt-s silmakliiniku kalfaktor  1883--86, Loosis 1886--88, Pm toim.l 1888--93, 1902--06, Linda toim  Pärnus 1893--1902, Tall-s 1906--19 Ristirahva Pühapäevalehe ja 1906--08  Sõnumitooja tegevtoim, Tall Pl vast.toim 1918, Meie Kiriku toim.l  1920--30, elas Valgam Tõlliste v Liiva k-s. Mälestused I 1937. Srn  17.XI 1932 Tall-s. PmA, EBL, EAT, EE, EBLl, ENE1, EKBL, ENE2, EKrL,  ENE2(14)"	"EAT, 242; EAE-40, lk. 169; Eesti kirjanike leksikon, 416-417; Postimees 1857-1907, 220-221."	"Tohkri t. Loosi v. Võrumaa"	"Tallinn"							"PRANTS, Hindrik (Heinrich, Hendrik). "	"12.III 1858 Võ Loosi v  Tohkril. "	"Talun Peeter P., Mai Karoline Treiar. "		"Ae 1900 Anna Mathilde  Kruusmann (1875--, vt). "	"Anna Mathilde Juta Pruler (1908--, vt). "	"Loosi  ms-k 1866--73, Vastseliina khkk 1873--74. "	"Trt-s silmakliiniku kalfaktor  1883--86, Loosis 1886--88, Pm toim.l 1888--93, 1902--06, Linda toim  Pärnus 1893--1902, Tall-s 1906--19 Ristirahva Pühapäevalehe ja 1906--08  Sõnumitooja tegevtoim, Tall Pl vast.toim 1918, Meie Kiriku toim.l  1920--30, elas Valgam Tõlliste v Liiva k-s. "	"Mälestused I 1937. "	"Srn  17.XI 1932 Tall-s. "	"PmA, EBL, EAT, EE, EBLl, ENE1, EKBL, ENE2, EKrL,  ENE2(14)"
2064	2064	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Põld, Peeter Siegfried Nikolaus"	"1878-07-12"	"1930-09-01"	"haridustegelane"	"Maetud Tartu Pauluse kalmistule."	"Postimees 1857-1907, lk. 224; EAE-40, lk. 173-174; EKBL, lk. 188-189."	"Jõhvi v. Virumaa"	"Tartu"														"Maetud Tartu Pauluse kalmistule."			
2072	2072	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Päts, Konstantin"	"1874-02-23"	"1956-01-18"	"poliitik, ajakirjanik, riigitegelane, jurist"		"EAT, 254-255; EAE-40, lk. 175-176."	"Tahkuranna v. Pärnumaa"	"Buraševo, Kalinini obl."	"Ümber maetud Tallinna Metsakalmistule."																
2082	2082	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Pöögelmann, Hans"	"1875-12-30"	"1938-01-27"	"õpetaja, postiametnik, publitsist, luuletaja, tõlkija"	"PÖÖGELMANN, Hans. 30.XII 1875 Vil Aidu v Puistel. Rentn  Kustav P. Ae. Tuhalaane Aö kir.k,  Paistu khkk, EAleksK 1889--92,  Leipzigi kaub.ülik 1903--05.  Kooliõp V-Põltsamaa Vitsjärvel 1892--96,  postiam 1896--98 Vilj-s, 1898--99 Rostovis Doni ääres, Pm toim.l  1899--1901, Teataja toim.l 1901--03, 1905, marksist 1905 Leipzigis,  VSDTP Tall-s 1905, Trt rahvaesind.koosoleku juh Tü aulas 1905, Hommiku  ja Sotsiaaldemokraadi toim.l 1906, paguluses Sm-s, Prantsusm-l,  Inglism-l 1907--08, vangist 1909, asumisel Tomski kub Narõmis 1909--11,  põgenes 1911, New Yorgis Uue Ilma toim 1911--17, VI 1917 E-s, enaml,  Kiire toim.l, Tūūlise ja Maatamehe toim, Tall l-volik, AjMnk (Tall), E  soveti ispolkomi põllumaj.osak juh, 1918 Venem-le, Moskvas rahvusasjade  rk E osak juh V--XI 1918, ETūūrKomm soveti l ja rahvamaj.val-se juh XI  1918--19, EKP KK ja välismaabüroo l, VKP e sekts-de keskbür.l 1925--27,  Kominterni TsIK l 1921--22, õppej ja toim Leningr-s 1925--37, vang  1937. Hukati 27.I 1938 Moskvas. PmA, EBL, EE, EBLl, EAK, ENE1, RevLip1,  EKBL, EKrL, ENE2, ENE2(14)"	"Postimees 1857-1907, 225-226; EAE-40, lk. 177; EE (2000), XIV, lk. 395; Eesti kirjanike leksikon (2000), lk. 432-433."	"Puiste t. Aidu v. Viljandimaa"	"Moskva"							"PÖÖGELMANN, Hans. "	"30.XII 1875 Vil Aidu v Puistel. "			"Rentn  Kustav P. Ae. "		"Tuhalaane Aö kir.k,  Paistu khkk, EAleksK 1889--92,  Leipzigi kaub.ülik 1903--05. "	" Kooliõp V-Põltsamaa Vitsjärvel 1892--96,  postiam 1896--98 Vilj-s, 1898--99 Rostovis Doni ääres, Pm toim.l  1899--1901, Teataja toim.l 1901--03, 1905, marksist 1905 Leipzigis,  VSDTP Tall-s 1905, Trt rahvaesind.koosoleku juh Tü aulas 1905, Hommiku  ja Sotsiaaldemokraadi toim.l 1906, paguluses Sm-s, Prantsusm-l,  Inglism-l 1907--08, vangist 1909, asumisel Tomski kub Narõmis 1909--11,  põgenes 1911, New Yorgis Uue Ilma toim 1911--17, VI 1917 E-s, enaml,  Kiire toim.l, Tūūlise ja Maatamehe toim, Tall l-volik, AjMnk (Tall), E  soveti ispolkomi põllumaj.osak juh, 1918 Venem-le, Moskvas rahvusasjade  rk E osak juh V--XI 1918, ETūūrKomm soveti l ja rahvamaj.val-se juh XI  1918--19, EKP KK ja välismaabüroo l, VKP e sekts-de keskbür.l 1925--27,  Kominterni TsIK l 1921--22, õppej ja toim Leningr-s 1925--37, vang  1937. "		"Hukati 27.I 1938 Moskvas. "	"PmA, EBL, EE, EBLl, EAK, ENE1, RevLip1,  EKBL, EKrL, ENE2, ENE2(14)"
2089	2089	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Raag, Arno"	"1904-08-26"	"1985-03-06"	"kirjanik, ajakirjanik, kirjandusloolane"	"RAAG, Arno (Arnold Johannes). 26.VIII 1904 Ta Vesneri v  Viidike Hindrekul. Taluom Karl R., Ida Reinhold. Ae 1928 Elli Veske.  Väägvere algk 1913--16, Treffn g 1916--25, Tü jur 1925--41-, 6406, EüS  1926. Pm toim.l 1928--40 (vallandati VI 1940), 1941--43, Narva Pm  tegevtoim 1928--29, AkadKoop am 1940--41, Ajakirja Naistele toim.l  1943--44, varjas end 1944, Sksm-le IX 1944, ajal Eesti Rada toim  1947--49, USA-sse 1949.  Kirjanik, Mälestused 1946, 1947, 1971, 1974,  1978. Srn 6.III 1985 Melbourne\'is (Fla.). EAT, EE, EüS3, EKirjP, AA3,  EKrL"	"EAT, 256; EAE-40, lk. 178; Eesti kirjanike leksikon (2000), lk. 434."	"Hindreku t. Sootaga v. Tartumaa"	"Melbourne, Florida, USA"							"RAAG, Arno (Arnold Johannes). "	"26.VIII 1904 Ta Vesneri v  Viidike Hindrekul. "	"Taluom Karl R., Ida Reinhold. "		"Ae 1928 Elli Veske. "		" Väägvere algk 1913--16, Treffn g 1916--25, Tü jur 1925–41-, EüS  1926. "	"Pm toim.l 1928--40 (vallandati VI 1940), 1941--43, Narva Pm  tegevtoim 1928--29, AkadKoop am 1940--41, Ajakirja Naistele toim.l  1943--44, varjas end 1944, Sksm-le IX 1944, ajal Eesti Rada toim  1947--49, USA-sse 1949. "	" Kirjanik, Mälestused 1946, 1947, 1971, 1974,  1978. "	"Srn 6.III 1985 Melbourne\'is (Fla.). "	"EAT, EE, EüS3, EKirjP, AA3,  EKrL"
2093	2093	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Raamot, Jaan"	"1873-08-09"	"1927-01-05"	"põllumajandustegelane, poliitik, koolijuht, õpetaja"		"Postimees 1857-1907, 226-227; EKBL, lk. 194."	"Vigala, Läänemaa"	"Jäneda, Harjumaa"																	
2149	2149	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Rattur, Villem"	"1852-00-00"	"1912-00-00"	"õpetaja"	"Jaani khk-s õpetaja aa. 1879-1980. 1889. a. lahkus Saaremaalt Peterburi lähedale Sahlinosse, kus töötas õpetajana."																	"Jaani khk-s õpetaja aa. 1879-1980. 1889 a. lahkus Saaremaalt Peterburi lähedale Sahlinosse, kus töötas õpetajana."			
2156	2156	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Raud, Liis"	"1903-02-14"	"1984-03-12"	"kirjanik, kirjandusteadlane"	"RAUD (TOHVER, VERLIIN), Liis (ps Metslaps). 14.III 1903 Pä  Tori v Tohera k-s. Talun Jüri Tohver 1854--1927, Liisa Tomingas  (1858--1918). Ae 1. 1923--26 Almer Ludvig Verliin (1898--), 2. 1938  kunstn Gustav R. (1902--68, vt). Ilmar; Tiiu (1940, treen). Viira v-k  1910--13, Pärnu TG 1918--19, Läänem ühisg 1920--22, Tü  phil 1925--33, 1933--34 c.l., 7002, mag phil 1934, Ilmatar. Kants.am  Petseris 1923--25, AkadKirjüh-u sekr 1929--34, EE korrektor 1932--35,  õp Treffn g-s 1935--37, Türi g-s 1937--38, Pärnu kaub.k-s 1938--40,  kirj.muus-i teadur 1940--42, KKO juh 1944--51, 1967--70, Tü rmtkogu  v.ass 1942--44, KKI teadur 1951--52, TöS õp 1948--51, TRü e kirj ja  rahvaluule kat dots 1955--66; NE preem 1982.  Srn 12.III 1984 Tall-s,  maet Kanepi kalm-le. EKBL, TRüBB, EKrL, ENE2, AA3, EKoBL, ENE2(14)"	"EE (2000), XIV, lk. 410; Eesti kirjanike leksikon, lk. 446-447."	"Tohera k. Tori v. Pärnumaa"	"Tallinn"	"Maetud Kanepi kalmistule."						"RAUD (TOHVER, VERLIIN), Liis (ps Metslaps). "	"14.III 1903 Pä  Tori v Tohera k-s. "	"Talun Jüri Tohver 1854--1927, Liisa Tomingas  (1858--1918). "		"Ae 1. 1923--26 Almer Ludvig Verliin (1898--), 2. 1938  kunstn Gustav R. (1902--68, vt). "	"Ilmar; Tiiu (1940, treen). "	"Viira v-k  1910--13, Pärnu TG 1918--19, Läänem ühisg 1920--22, Tü  phil 1925--33, 1933--34 c.l., mag phil 1934, Ilmatar. "	"Kants.am  Petseris 1923--25, AkadKirjüh-u sekr 1929--34, EE korrektor 1932--35,  õp Treffn g-s 1935--37, Türi g-s 1937--38, Pärnu kaub.k-s 1938--40,  kirj.muus-i teadur 1940--42, KKO juh 1944--51, 1967--70, Tü rmtkogu  v.ass 1942--44, KKI teadur 1951--52, TöS õp 1948--51, TRü e kirj ja  rahvaluule kat dots 1955--66; NE preem 1982. "		" Srn 12.III 1984 Tall-s,  maet Kanepi kalm-le. "	"EKBL, TRüBB, EKrL, ENE2, AA3, EKoBL, ENE2(14)"
2160	2160	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Raud, Märt"	"1881-11-06"	"1980-01-11"	"ajakirjanik, koolitegelane, kirjanik, haridustegelane, publitsist"	"RAUD, Märt (ps Tõnis Migagu). 6.XI 1881 Ta Kavilda v  Koiduarul. Pops Peeter R., Leenu Vares. Ae 1911 Anna Treumann  (1883--1978). Agr Jaan R. (1912--76), Aina Kivi, kunstiajalool  Hinge-Mai Pähn-R. (1920, ae 1988 arst Ilja P., vt). Tarvoja k-k  1890--93, Puhja khkk 1893--97, Trt II öS 1897--1901, Rostovtsevi  eraülik nat 1909--10.  Kooliõp Vaivara khkk-s 1901, Ulvi Samma min.k-s  1902, Haljala Kalevipoja k juh 1903--06, Sõna toim 1906--07, Pm toim.l.  1906--14, 1918, õp Helme khkk-s, mobil 1914, sv-s Pb-s 1914--17, I E  polk V--VIII 1917, E tagav.pat kortermeister 1917--18, Maaliidu ja Pl  toim.l 1918--19, Vabaduss-s sõjatsensor Tall-s 1919--20, Pärnu maaval  har.osak juh 1920--22, Viljm koolinõunik 1922--34, Pärnum koolinõunik  1934--36, har.minist har.nõunik 1936--37, k-de peainsp 1937--40  (valland VI 1940), Trtm koolinõun 1941--42, Läänem koolinõun 1942--44,  Sksm-le 1944, Rts-i 1948, EKom arh.am 1948--56, REE; ERE 1906--18,  EVabarL 1917, KL Vilj malevk ja Halliste malevk.prop.peal, NK Pärnum  keskmalevk ja Harjum mal abivan. Kirjanik, mälestused 1962, 1965, 1966.  Srn 11.XI 1980 Stockholmis (99). PmA, EBL, EAT, EE, EBLl, TöS, PTB,  EAT2, EKirjP, EKrL, EKoBL, ENE2, ENE2(14)"	"Postimees 1857-1907, 227; EAT, 260; EE (2000), XIV, lk. 411; EKBL, lk. 199-200; EAE-40, lk. 181. - Eesti kirjanike leksikon (2000), lk. 448-449."	"Kavilda v."	"Stockholm"							"RAUD, Märt (ps Tõnis Migagu). "	"6.XI 1881 Ta Kavilda v  Koiduarul. "	"Pops Peeter R., Leenu Vares. "		"Ae 1911 Anna Treumann  (1883--1978). "	"Agr Jaan R. (1912--76), Aina Kivi, kunstiajalool  Hinge-Mai Pähn-R. (1920, ae 1988 arst Ilja P., vt). "	"Tarvoja k-k  1890--93, Puhja khkk 1893--97, Trt II öS 1897--1901, Rostovtsevi  eraülik nat 1909--10. "	" Kooliõp Vaivara khkk-s 1901, Ulvi Samma min.k-s  1902, Haljala Kalevipoja k juh 1903--06, Sõna toim 1906--07, Pm toim.l.  1906--14, 1918, õp Helme khkk-s, mobil 1914, sv-s Pb-s 1914--17, I E  polk V--VIII 1917, E tagav.pat kortermeister 1917--18, Maaliidu ja Pl  toim.l 1918--19, Vabaduss-s sõjatsensor Tall-s 1919--20, Pärnu maaval  har.osak juh 1920--22, Viljm koolinõunik 1922--34, Pärnum koolinõunik  1934--36, har.minist har.nõunik 1936--37, k-de peainsp 1937--40  (valland VI 1940), Trtm koolinõun 1941--42, Läänem koolinõun 1942--44,  Sksm-le 1944, Rts-i 1948, EKom arh.am 1948--56, REE; ERE 1906--18,  EVabarL 1917, KL Vilj malevk ja Halliste malevk.prop.peal, NK Pärnum  keskmalevk ja Harjum mal abivan. "	"Kirjanik, mälestused 1962, 1965, 1966. "	" Srn 11.XI 1980 Stockholmis (99). "	"PmA, EBL, EAT, EE, EBLl, TöS, PTB,  EAT2, EKirjP, EKrL, EKoBL, ENE2, ENE2(14)"
2164	2164	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Raudkepp, Aleksander Friedrich"	"1849-09-05"	"1935-03-06"	"õpetaja, köster"	"RAUDKEPP, Aleksander Friedrich. 5.IX 1849 Jä Nõmmküla v  Karkuse ms. Sepp Kaarel R., Luise Mühlbach. Ae 1871 Marie Krüger  (1852--1928, kaupm t Jäneda v-st).  August (srn 1925, organist),  Aleksander Leopold (1877--1948, vt). Aluvere v-k ja Rakv khkk 1863--67,  Kuuda öS 1867--70.  öp Sõmerul 1870--71, Kurna v-kirj 1871--73, Ambla  khkk õp 1873--81, Ambla köster 1875--81, Rakv KalevipS k õp 1881, Die  Heimath\'i toim.l 1881--82, köster-kooliõp Krimmis 1882--1914, E-s 1922,  Tall linnaval am 1923--29; EKmS, EAleksK abikom. Srn 6.III 1935 Tall-s,  maet Rahumäe kalm-le.  Mälestuste käsikiri EKSi arhiivis. EAT, EAT2,  EBLl, EKoBL"	"EAT, 262; EKBL, lk. 201."	"Karkuse m. Nõmmküla v. Järvamaa"	"Tallinn"	"Maetud Rahumäe kalmistule."						"RAUDKEPP, Aleksander Friedrich. "	"5.IX 1849 Jä Nõmmküla v  Karkuse ms. "	"Sepp Kaarel R., Luise Mühlbach. "		"Ae 1871 Marie Krüger  (1852--1928, kaupm t Jäneda v-st). "	" August (srn 1925, organist),  Aleksander Leopold (1877--1948, vt). "	"Aluvere v-k ja Rakv khkk 1863--67,  Kuuda öS 1867--70. "	" öp Sõmerul 1870--71, Kurna v-kirj 1871--73, Ambla  khkk õp 1873--81, Ambla köster 1875--81, Rakv KalevipS k õp 1881, Die  Heimath\'i toim.l 1881--82, köster-kooliõp Krimmis 1882--1914, E-s 1922,  Tall linnaval am 1923--29; EKmS, EAleksK abikom. "		"Srn 6.III 1935 Tall-s,  maet Rahumäe kalm-le.  Mälestuste käsikiri EKSi arhiivis. "	"EAT, EAT2,  EBLl, EKoBL"
2179	2179	"Eludaatumid"	"Üldandmed"	"Seotud andmed"	"Daniel, Gustav"	"1855-00-00"	"1893-00-00"	"vallakirjutaja"																					
